證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Unnamed: 19
2409,友達            ,246118869,135171693,110947176,0,0,0,0,8255,-8255,8418796,528000,234000,294000,10855182,2730386,8124796,119357717,
3481,群創            ,245812656,163817854,81994802,0,0,0,0,74905,-74905,849391,1044000,2474606,-1430606,4761635,2481638,2279997,82769288,
2303,聯電            ,99265491,63978955,35286536,0,0,0,15869001,6442094,9426907,5198987,2572827,1207907,1364920,7296366,3462299,3834067,49912430,
2344,華邦電          ,124799153,97377191,27421962,0,0,0,7694000,34562,7659438,-219247,818144,719000,99144,2410159,2728550,-318391,34862153,
2313,華通            ,47621645,17646572,29975073,0,0,0,2998880,141000,2857880,718356,329996,136000,193996,1489362,965002,524360,33551309,
2408,南亞科          ,73731600,48159715,25571885,0,0,0,2893348,50916,2842432,440241,673463,535163,138300,2263471,1961530,301941,28854558,
2301,光寶科          ,57513700,30287246,27226454,0,0,0,40000,4434598,-4394598,-1615343,113000,358000,-245000,1120540,2490883,-1370343,21216513,
2317,鴻海            ,57077296,25394841,31682455,0,0,0,58892,10839059,-10780167,113116,77000,683292,-606292,1479015,759607,719408,21015404,
3231,緯創            ,43371616,22863487,20508129,0,0,0,17925,130102,-112177,-191262,68000,300000,-232000,815276,774538,40738,20204690,
6116,彩晶            ,42100060,26824000,15276060,0,0,0,0,0,0,1365308,304000,240000,64000,1380656,79348,1301308,16641368,
2481,強茂            ,28768024,15286410,13481614,0,0,0,898001,680,897321,805077,535000,14000,521000,753732,469655,284077,15184012,
1402,遠東新          ,18829273,4963000,13866273,0,0,0,81000,84397,-3397,-128045,2000,98000,-96000,18092,50137,-32045,13734831,
