證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
3481,群創,132925576,50950759,81974817,0,0,0,8000,51913,-43913,6415259,6551000,2735000,3816000,3454423,855164,2599259,88346163
2409,友達,222443824,157311110,65132714,0,0,0,0,7705,-7705,-1655932,1543000,2491955,-948955,5195469,5902446,-706977,63469077
2303,聯電,96043714,81400563,14643151,0,0,0,6200000,1155866,5044134,492660,5036000,4871000,165000,1704959,1377299,327660,20179945
1409,新纖,31249488,13273516,17975972,0,0,0,0,0,0,488571,19000,21000,-2000,685268,194697,490571,18464543
1101,台泥,25420616,8020936,17399680,0,0,0,100000,0,100000,106991,0,58000,-58000,257020,92029,164991,17606671
6505,台塑化,22168893,8920921,13247972,0,0,0,33000,1053,31947,1592417,803442,366282,437160,1440586,285329,1155257,14872336
2002,中鋼,20405756,8354688,12051068,0,0,0,154000,59000,95000,2385260,3000000,128000,2872000,72655,559395,-486740,14531328
2382,廣達,21529412,8430668,13098744,0,0,0,27000,21455,5545,493559,722146,358000,364146,178713,49300,129413,13597848
2834,臺企銀,37672810,24338389,13334421,0,0,0,11000,54000,-43000,-2001,0,94000,-94000,98000,6001,91999,13289420
1326,台化,20221524,7940813,12280711,0,0,0,151000,0,151000,540219,382000,180591,201409,443661,104851,338810,12971930
1301,台塑,16573889,3734691,12839198,0,0,0,0,0,0,-55192,272000,174390,97610,404353,557155,-152802,12784006
6770,力積電,42133790,30758924,11374866,0,0,0,0,3000,-3000,73049,703000,972002,-269002,578931,236880,342051,11444915
8150,南茂,20789104,10387681,10401423,0,0,0,1000,5000,-4000,-52924,279000,474000,-195000,266346,124270,142076,10344499
1314,中石化,11843140,2567756,9275384,0,0,0,0,0,0,170069,213069,43000,170069,0,0,0,9445453
3711,日月光投控,16457898,7650994,8806904,0,0,0,495000,105930,389070,246837,303253,142500,160753,318771,232687,86084,9442811
