排名,證券代號,證券名稱,買進日數,軌跡
1,6414,樺漢,14,●●●●●●●●●●●●●●
2,1314,中石化,13,●●○●●●●●●●●●●●
3,1734,杏輝,13,●●●●●●●○●●●●●●
4,3029,零壹,12,●●○●●○●●●●●●●●
5,2608,嘉里大榮,12,●○●●●○●●●●●●●●
6,1413,宏洲,12,●●●●○○●●●●●●●●
7,2883,凱基金,12,●●●○●○●●●●●●●●
8,2480,敦陽科,12,●●○●●●○●●●●●●●
9,3004,豐達科,12,●●○●●●○●●●●●●●
10,2101,南港,12,○●●●●●●○●●●●●●
11,5880,合庫金,12,●○●●●●●●●○●●●●
12,8996,高力,12,●●●○●●●●●○●●●●
13,1762,中化生,12,●●●●●○●●●○●●●●
14,2816,旺旺保,12,●●●○●●●●●○●●●●
15,2008,高興昌,12,●●●●●○●●●○●●●●
16,2483,百容,12,●●●●●●●○●●○●●●
17,7610,聯友金屬-創,12,●○●●●●●●●●●●●○
18,4771,望隼,12,●●●●●○●●●●●●●○
19,2506,太設,12,●●●●●●●●○●●●●○
20,2353,宏碁,11,○○●●○●●●●●●●●●
21,4938,和碩,11,●○○●●○●●●●●●●●
22,4746,台耀,11,●●○●○○●●●●●●●●
23,8341,日友,11,○●●○●○●●●●●●●●
24,2441,超豐,11,●●●●○○○●●●●●●●
25,6189,豐藝,11,●●○●○●○●●●●●●●
26,2030,彰源,11,●●●○○●●○●●●●●●
27,1590,亞德客-KY,11,●●○●●○●○●●●●●●
28,1909,榮成,11,●●○●○●●●○●●●●●
29,1904,正隆,11,●●●●○●●○○●●●●●
30,2812,台中銀,11,○○●●●●●●○●●●●●
