證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
00403A,主動統一升級50,29683918,115550101,-85866183,0,0,0,0,0,0,-782268080,23000,0,23000,26577000,808868080,-782291080,-868134263
2303,聯電,89982424,135903619,-45921195,0,0,0,32872300,12165168,20707132,481273,604000,1130533,-526533,3295357,2287551,1007806,-24732790
2883,凱基金,23178300,51037597,-27859297,0,0,0,47000,5536000,-5489000,142615,65000,120841,-55841,361168,162712,198456,-33205682
3481,群創,254577993,281086109,-26508116,0,0,0,43100,0,43100,6230554,7041000,4668000,2373000,8806202,4948648,3857554,-20234462
2344,華邦電,66652382,85790753,-19138371,0,0,0,7463000,1000,7462000,-286181,1274000,1092405,181595,1380119,1847895,-467776,-11962552
6770,力積電,32324330,50551020,-18226690,0,0,0,3000,0,3000,332516,793000,341365,451635,1277882,1397001,-119119,-17891174
1101,台泥,6314000,23343437,-17029437,0,0,0,0,0,0,175879,457000,18000,439000,196145,459266,-263121,-16853558
2887,台新新光金,42830167,55726598,-12896431,0,0,0,0,7381000,-7381000,1072004,9000,4060,4940,1224000,156936,1067064,-19205427
1303,南亞,10921188,22302260,-11381072,0,0,0,0,0,0,-1632531,109000,965000,-856000,702850,1479381,-776531,-13013603
00999A,主動野村臺灣高息,2992100,14115000,-11122900,0,0,0,0,0,0,-8911396,0,0,0,5715000,14626396,-8911396,-20034296
2892,第一金,13845034,24927536,-11082502,0,0,0,0,2000,-2000,109741,76000,1762,74238,109000,73497,35503,-10974761
2603,長榮,2466799,13533800,-11067001,0,0,0,6500,178791,-172291,526105,325000,21998,303002,534500,311397,223103,-10713187
1717,長興,7494010,17511108,-10017098,0,0,0,0,0,0,-872468,364000,711469,-347469,239000,763999,-524999,-10889566
2330,台積電,14699399,24221226,-9521827,0,0,0,6500000,70500,6429500,520298,49200,170000,-120800,1071553,430455,641098,-2572029
2801,彰銀,2879909,12348662,-9468753,0,0,0,0,2000,-2000,-1000,0,0,0,72000,73000,-1000,-9471753
1802,台玻,11612686,20844062,-9231376,0,0,0,0,0,0,716289,765000,53000,712000,776691,772402,4289,-8515087
2382,廣達,19468727,28418490,-8949763,0,0,0,3000,100335,-97335,368179,636582,323610,312972,180500,125293,55207,-8678919
2337,旺宏,26074689,33942599,-7867910,0,0,0,753000,720000,33000,-22666,465000,464000,1000,910624,934290,-23666,-7857576
00981A,主動統一台股增長,69574450,77422945,-7848495,0,0,0,0,0,0,-9521670,1653000,1896000,-243000,23372411,32651081,-9278670,-17370165
5880,合庫金,2384000,9770129,-7386129,0,0,0,0,2000,-2000,20825,5000,4998,2,87000,66177,20823,-7367304
1326,台化,4492100,11745502,-7253402,0,0,0,0,0,0,-296129,6000,197024,-191024,270612,375717,-105105,-7549531
3231,緯創,9509958,16614273,-7104315,0,0,0,662000,295000,367000,306138,562000,106000,456000,258524,408386,-149862,-6431177
2834,臺企銀,11164000,17851384,-6687384,0,0,0,0,0,0,-29000,0,26000,-26000,80000,83000,-3000,-6716384
2002,中鋼,13826138,20277364,-6451226,0,0,0,0,0,0,-139852,0,0,0,77000,216852,-139852,-6591078
2884,玉山金,18131724,24089447,-5957723,0,0,0,0,687000,-687000,11640,34000,54000,-20000,109000,77360,31640,-6633083
3711,日月光投控,8538591,14487102,-5948511,0,0,0,1815000,1553000,262000,-144275,94000,222220,-128220,1093837,1109892,-16055,-5830786
4540,全球傳動,5377000,11185000,-5808000,0,0,0,0,0,0,-17913,62095,80008,-17913,0,0,0,-5825913
2353,宏碁,3686020,9476000,-5789980,0,0,0,7000,2187000,-2180000,-13873,72189,2680,69509,84000,167382,-83382,-7983853
2327,國巨*,22894115,27511250,-4617135,0,0,0,6940000,91000,6849000,-1129820,292851,993318,-700467,1438055,1867408,-429353,1102045
2845,遠東銀,3140150,7696000,-4555850,0,0,0,0,0,0,-36000,0,0,0,0,36000,-36000,-4591850
