證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2891,中信金,92077685,41494094,50583591,0,0,0,0,3888267,-3888267,210812,890428,302000,588428,1063444,1441060,-377616,46906136
2887,台新新光金,81418199,45110897,36307302,0,0,0,4195000,7360000,-3165000,-1869096,1078083,390000,688083,521821,3079000,-2557179,31273206
2603,長榮,38699391,13128864,25570527,0,0,0,318000,2758652,-2440652,328541,407000,87000,320000,998033,989492,8541,23458416
2027,大成鋼,28567068,7298300,21268768,0,0,0,100000,1419000,-1319000,-551000,227969,1754000,-1526031,1111322,136291,975031,19398768
2337,旺宏,45041522,32002147,13039375,0,0,0,312000,8235000,-7923000,-1690851,152000,1507000,-1355000,895520,1231371,-335851,3425524
3481,群創,203134160,190167614,12966546,0,0,0,16000,40000,-24000,-2843462,3115000,4460000,-1345000,5876615,7375077,-1498462,10099084
2344,華邦電,55224124,42499347,12724777,0,0,0,2187000,441000,1746000,-4071628,1477000,5148544,-3671544,1448903,1848987,-400084,10399149
00982A,主動群益台灣強棒,18525434,7365784,11159650,0,0,0,0,0,0,-10694376,546000,13000,533000,5138294,16365670,-11227376,465274
2883,凱基金,32383020,21921882,10461138,0,0,0,6070000,112000,5958000,-658072,623000,642000,-19000,178649,817721,-639072,15761066
00988A,主動統一全球創新,20583769,10219000,10364769,0,0,0,0,0,0,1247246,0,0,0,4552000,3304754,1247246,11612015
00990A,主動元大AI新經濟,14172200,4368250,9803950,0,0,0,0,0,0,1495979,221000,146000,75000,4764056,3343077,1420979,11299929
009820,元大納斯達克精選,9825000,357000,9468000,0,0,0,0,0,0,4385875,618000,0,618000,5295000,1527125,3767875,13853875
00991A,主動復華未來50,21960000,12987000,8973000,0,0,0,0,0,0,-17147401,0,1766000,-1766000,4251826,19633227,-15381401,-8174401
2388,威盛,12609087,3642123,8966964,0,0,0,180000,0,180000,527644,158874,128000,30874,592714,95944,496770,9674608
00940,元大台灣價值高息,11156000,3843000,7313000,0,0,0,0,0,0,14833834,30000,0,30000,20802120,5998286,14803834,22146834
2312,金寶,11491000,4221000,7270000,0,0,0,501000,2994000,-2493000,1434597,821000,85000,736000,764597,66000,698597,6211597
009805,新光美國電力基建,7254000,93000,7161000,0,0,0,0,0,0,6994132,50000,0,50000,10497000,3552868,6944132,14155132
00997A,主動群益美國增長,7565100,1653000,5912100,0,0,0,0,0,0,-420097,0,0,0,4664522,5084619,-420097,5492003
4916,事欣科,12470571,6997306,5473265,0,0,0,0,126000,-126000,-269776,19000,456000,-437000,585644,418420,167224,5077489
1402,遠東新,11754735,6758000,4996735,0,0,0,0,40000,-40000,-193142,85000,262000,-177000,61180,77322,-16142,4763593
4958,臻鼎-KY,22105476,17293399,4812077,0,0,0,5761000,0,5761000,36098,400500,338000,62500,896308,922710,-26402,10609175
2401,凌陽,12282074,7642444,4639630,0,0,0,73000,0,73000,883763,273326,147408,125918,761123,3278,757845,5596393
0052,富邦科技,7887237,3353420,4533817,0,0,0,0,200000,-200000,-4259623,968000,650205,317795,2811038,7388456,-4577418,74194
6239,力成,9916867,5402604,4514263,0,0,0,55000,1262000,-1207000,81944,176000,335993,-159993,481185,239248,241937,3389207
2484,希華,7433090,3172000,4261090,0,0,0,0,0,0,81390,85809,4419,81390,0,0,0,4342480
00919,群益台灣精選高息,12239125,8374129,3864996,0,0,0,0,0,0,23800946,405000,203000,202000,30559701,6960755,23598946,27665942
00992A,主動群益科技創新,12929718,9086000,3843718,0,0,0,0,0,0,-1634678,1387000,0,1387000,6133141,9154819,-3021678,2209040
2352,佳世達,4527015,732000,3795015,0,0,0,1049000,80000,969000,25717,12000,13000,-1000,32717,6000,26717,4789732
1711,永光,6874000,3248000,3626000,0,0,0,0,0,0,-6935,18000,10000,8000,30724,45659,-14935,3619065
1582,信錦,12190328,8896000,3294328,0,0,0,0,2104,-2104,-119492,333068,309210,23858,95523,238873,-143350,3172732
