排名,證券代號,證券名稱,外資買賣超股數
1,2303,聯電,50122329
2,3481,群創,34595405
3,2609,陽明,23528558
4,2892,第一金,19414423
5,2890,永豐金,13608053
6,3045,台灣大,11549496
7,2801,彰銀,11396644
8,2313,華通,10646549
9,2027,大成鋼,10323899
10,3036,文曄,8857302
11,3702,大聯大,7970823
12,6116,彩晶,7629197
13,2337,旺宏,7219482
14,2356,英業達,7082715
15,1216,統一,6666666
16,2344,華邦電,6599195
17,2891,中信金,6185364
18,8150,南茂,5938492
19,2412,中華電,5853225
20,2618,長榮航,5687483
21,6005,群益證,5618766
22,2355,敬鵬,5601502
23,8070,長華*,5207314
24,3042,晶技,4929779
25,6176,瑞儀,4870648
26,2637,慧洋-KY,4656432
27,2406,國碩,4455803
28,3550,聯穎,3584350
29,6757,台灣虎航,3445108
30,9105,泰金寶-DR,3418119
