排名,證券代號,證券名稱,外資買賣超股數
1,6770,力積電,-115284424
2,1303,南亞,-50130158
3,2303,聯電,-45935242
4,2330,台積電,-44183964
5,2344,華邦電,-28376118
6,2449,京元電子,-16942912
7,2409,友達,-15636466
8,2313,華通,-15161048
9,2885,元大金,-14862144
10,1314,中石化,-13228374
11,3711,日月光投控,-11742575
12,8150,南茂,-11245973
13,2890,永豐金,-9758663
14,3033,威健,-9622828
15,2887,台新新光金,-9594495
16,2408,南亞科,-8661280
17,2301,光寶科,-8395661
18,1301,台塑,-7855654
19,1434,福懋,-7736453
20,1605,華新,-7517251
21,1717,長興,-7469575
22,2323,中環,-7071396
23,2369,菱生,-6904772
24,1802,台玻,-6822203
25,2363,矽統,-6494104
26,1312,國喬,-6105000
27,2371,大同,-5637245
28,2308,台達電,-5361502
29,1711,永光,-5249184
30,2515,中工,-5124602
