證券代號,證券名稱,外陸資買賣超股數(不含外資自營商)
2409,友達            ,110947176
3481,群創            ,81994802
2887,台新新光金      ,43324909
2303,聯電            ,35286536
2317,鴻海            ,31682455
2313,華通            ,29975073
2344,華邦電          ,27421962
2301,光寶科          ,27226454
2408,南亞科          ,25571885
3231,緯創            ,20508129
6116,彩晶            ,15276060
1402,遠東新          ,13866273
2481,強茂            ,13481614
1802,台玻            ,12479904
1714,和桐            ,10620512
2892,第一金          ,10374585
2027,大成鋼          ,8865566
3714,富采            ,8061011
5876,上海商銀        ,7273419
6285,啟碁            ,6668470
3033,威健            ,5852000
3450,聯鈞            ,5718310
3305,昇貿            ,5093890
1717,長興            ,4487019
2851,中再保          ,4281000
2367,燿華            ,4178275
1314,中石化          ,4082355
2374,佳能            ,3976028
3048,益登            ,3959713
1216,統一            ,3691640
