證券代號,證券名稱,外陸資買賣超股數(不含外資自營商)
2891,中信金          ,-25961121
8112,至上            ,-24118420
2801,彰銀            ,-22780863
2883,凱基金          ,-21932494
2002,中鋼            ,-21342531
2834,臺企銀          ,-20867124
2324,仁寶            ,-15008728
1301,台塑            ,-14874376
5880,合庫金          ,-14036678
2337,旺宏            ,-13007468
2449,京元電子        ,-12063933
1101,台泥            ,-11364980
2884,玉山金          ,-10937667
2377,微星            ,-9305085
2618,長榮航          ,-9296871
2330,台積電          ,-9237265
1303,南亞            ,-9120294
2885,元大金          ,-8398235
3036,文曄            ,-8350724
2882,國泰金          ,-8338133
2312,金寶            ,-7865330
2880,華南金          ,-7671570
2886,兆豐金          ,-7427375
2356,英業達          ,-6968722
2855,統一證          ,-6550956
2812,台中銀          ,-6529801
4919,新唐            ,-6374706
2371,大同            ,-5936815
6213,聯茂            ,-5242245
2610,華航            ,-5235157
