證券代號,證券名稱,投信買賣超股數
2303,聯電            ,9426907
2330,台積電          ,8879689
2344,華邦電          ,7659438
3036,文曄            ,7615961
3711,日月光投控      ,5151224
2313,華通            ,2857880
2408,南亞科          ,2842432
3037,欣興            ,2464104
2492,華新科          ,2248000
2327,國巨*           ,1699634
8046,南電            ,1259330
1605,華新            ,1146754
6669,緯穎            ,1024258
2481,強茂            ,897321
4958,臻鼎-KY         ,821172
3017,奇鋐            ,785224
2368,金像電          ,727645
2049,上銀            ,576000
6285,啟碁            ,539000
8996,高力            ,520000
6177,達麗            ,502000
2357,華碩            ,492279
2345,智邦            ,461107
6257,矽格            ,450000
2855,統一證          ,438500
3653,健策            ,424885
2360,致茂            ,412308
8210,勤誠            ,381000
6415,矽力*-KY        ,355238
5534,長虹            ,326000
