證券代號,證券名稱,投信買賣超股數
2887,台新新光金      ,-76326320
2891,中信金          ,-15292662
2317,鴻海            ,-10780167
2610,華航            ,-7608000
2883,凱基金          ,-6866482
2337,旺宏            ,-6090000
2881,富邦金          ,-6072843
2884,玉山金          ,-5374847
2027,大成鋼          ,-5216000
2618,長榮航          ,-4797873
2301,光寶科          ,-4394598
2885,元大金          ,-3908713
2606,裕民            ,-3675000
2882,國泰金          ,-3319807
3702,大聯大          ,-3033000
9904,寶成            ,-2557232
6005,群益證          ,-2456109
2449,京元電子        ,-1790287
2324,仁寶            ,-1506559
2353,宏碁            ,-1493289
6239,力成            ,-1188000
3189,景碩            ,-1166269
2890,永豐金          ,-1039428
1216,統一            ,-1014000
1102,亞泥            ,-841137
6505,台塑化          ,-824000
6805,富世達          ,-820095
3045,台灣大          ,-739006
6139,亞翔            ,-690129
2880,華南金          ,-690000
