證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Unnamed: 19
2344,華邦電          ,116227432.0,92218548.0,24008884.0,0.0,0.0,0.0,16377000.0,54000.0,16323000,2043922.0,1358001.0,505454.0,852547.0,3380473.0,2189098.0,1191375.0,42375806.0,0.0
2330,台積電          ,25905144.0,25304660.0,600484.0,0.0,0.0,0.0,6480000.0,623177.0,5856823,-1288506.0,198913.0,719000.0,-520087.0,298645.0,1067064.0,-768419.0,5168801.0,0.0
2303,聯電            ,114271612.0,89816586.0,24455026.0,0.0,0.0,0.0,11463000.0,6159164.0,5303836,3459826.0,1346999.0,299992.0,1047007.0,4117215.0,1704396.0,2412819.0,33218688.0,0.0
2408,南亞科          ,39472229.0,39264725.0,207504.0,0.0,0.0,0.0,4226000.0,496000.0,3730000,867165.0,1162000.0,324400.0,837600.0,1629073.0,1599508.0,29565.0,4804669.0,0.0
6278,台表科          ,2790300.0,3277932.0,-487632.0,0.0,0.0,0.0,3906000.0,206000.0,3700000,-502384.0,151000.0,442599.0,-291599.0,259491.0,470276.0,-210785.0,2709984.0,0.0
3037,欣興            ,8276440.0,11722337.0,-3445897.0,0.0,0.0,0.0,3911000.0,290338.0,3620662,29309.0,226341.0,186341.0,40000.0,524546.0,535237.0,-10691.0,204074.0,0.0
6770,力積電          ,73126758.0,56166164.0,16960594.0,0.0,0.0,0.0,1932000.0,26000.0,1906000,1302847.0,286000.0,63068.0,222932.0,1384375.0,304460.0,1079915.0,20169441.0,0.0
8112,至上            ,11878000.0,7130750.0,4747250.0,0.0,0.0,0.0,1673000.0,15992.0,1657008,-204153.0,5670.0,74306.0,-68636.0,447021.0,582538.0,-135517.0,6200105.0,0.0
6531,愛普*           ,2637703.0,4737830.0,-2100127.0,0.0,0.0,0.0,1211000.0,0.0,1211000,1160.0,24000.0,22000.0,2000.0,115598.0,116438.0,-840.0,-887967.0,0.0
1605,華新            ,21166075.0,20309003.0,857072.0,0.0,0.0,0.0,1150000.0,13000.0,1137000,900915.0,524000.0,81000.0,443000.0,1364695.0,906780.0,457915.0,2894987.0,0.0
3090,日電貿          ,7359030.0,8987150.0,-1628120.0,0.0,0.0,0.0,920000.0,0.0,920000,-5521.0,105753.0,106773.0,-1020.0,640021.0,644522.0,-4501.0,-713641.0,0.0
2368,金像電          ,3164355.0,2212591.0,951764.0,0.0,0.0,0.0,990000.0,114000.0,876000,-98366.0,63000.0,157000.0,-94000.0,171928.0,176294.0,-4366.0,1729398.0,0.0
1582,信錦            ,1844000.0,1547080.0,296920.0,0.0,0.0,0.0,850000.0,0.0,850000,4648.0,41208.0,6497.0,34711.0,50812.0,80875.0,-30063.0,1151568.0,0.0
4958,臻鼎-KY         ,18945724.0,29996822.0,-11051098.0,0.0,0.0,0.0,841000.0,18000.0,823000,-387449.0,130000.0,201000.0,-71000.0,502357.0,818806.0,-316449.0,-10615547.0,0.0
2345,智邦            ,5799460.0,2817294.0,2982166.0,0.0,0.0,0.0,830000.0,31227.0,798773,-121415.0,16191.0,90100.0,-73909.0,102864.0,150370.0,-47506.0,3659524.0,0.0
2347,聯強            ,2168429.0,2955154.0,-786725.0,0.0,0.0,0.0,1106000.0,359640.0,746360,-105038.0,0.0,11000.0,-11000.0,21839.0,115877.0,-94038.0,-145403.0,0.0
4904,遠傳            ,4518744.0,2944700.0,1574044.0,0.0,0.0,0.0,1202000.0,508000.0,694000,-82537.0,7463.0,31000.0,-23537.0,20000.0,79000.0,-59000.0,2185507.0,0.0
"=""0050""",元大台灣50      ,6123306.0,12169590.0,-6046284.0,0.0,0.0,0.0,700000.0,120000.0,580000,-2189.0,749000.0,510000.0,239000.0,12279259.0,12520448.0,-241189.0,-5468473.0,0.0
3045,台灣大          ,15584729.0,2498272.0,13086457.0,0.0,0.0,0.0,1123000.0,560000.0,563000,-363450.0,70000.0,295000.0,-225000.0,94550.0,233000.0,-138450.0,13286007.0,0.0
2337,旺宏            ,90569958.0,92397885.0,-1827927.0,0.0,0.0,0.0,556000.0,14000.0,542000,-462868.0,812000.0,700000.0,112000.0,631631.0,1206499.0,-574868.0,-1748795.0,0.0
8028,昇陽半導體      ,9448069.0,3093074.0,6354995.0,0.0,0.0,0.0,478000.0,1000.0,477000,182605.0,168000.0,215000.0,-47000.0,573885.0,344280.0,229605.0,7014600.0,0.0
9907,統一實          ,1176000.0,2575000.0,-1399000.0,0.0,0.0,0.0,738000.0,319795.0,418205,-16160.0,0.0,16160.0,-16160.0,0.0,0.0,0.0,-996955.0,0.0
2313,華通            ,31761800.0,13892596.0,17869204.0,0.0,0.0,0.0,442000.0,87000.0,355000,603280.0,435002.0,73000.0,362002.0,559640.0,318362.0,241278.0,18827484.0,0.0
8996,高力            ,519284.0,795765.0,-276481.0,0.0,0.0,0.0,347000.0,0.0,347000,15424.0,48017.0,31197.0,16820.0,0.0,1396.0,-1396.0,85943.0,0.0
3008,大立光          ,1271835.0,639043.0,632792.0,0.0,0.0,0.0,343000.0,23128.0,319872,153972.0,31380.0,11000.0,20380.0,278338.0,144746.0,133592.0,1106636.0,0.0
6415,矽力*-KY        ,3945525.0,2788580.0,1156945.0,0.0,0.0,0.0,315000.0,2000.0,313000,17060.0,58000.0,46000.0,12000.0,90826.0,85766.0,5060.0,1487005.0,0.0
3017,奇鋐            ,2512409.0,3684668.0,-1172259.0,0.0,0.0,0.0,343226.0,34000.0,309226,-44826.0,43244.0,40854.0,2390.0,290313.0,337529.0,-47216.0,-907859.0,0.0
2481,強茂            ,20237908.0,17235317.0,3002591.0,0.0,0.0,0.0,306000.0,0.0,306000,-642003.0,148000.0,181000.0,-33000.0,520583.0,1129586.0,-609003.0,2666588.0,0.0
9958,世紀鋼          ,1338000.0,1170206.0,167794.0,0.0,0.0,0.0,307000.0,1000.0,306000,44290.0,16789.0,40140.0,-23351.0,76061.0,8420.0,67641.0,518084.0,0.0
3583,辛耘            ,923429.0,1725025.0,-801596.0,0.0,0.0,0.0,255000.0,0.0,255000,-54914.0,16000.0,43203.0,-27203.0,78450.0,106161.0,-27711.0,-601510.0,0.0
