證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,Unnamed: 19
2887,台新新光金      ,81448667.0,28738157.0,52710510.0,0.0,0.0,0.0,0.0,61938000.0,-61938000,88840.0,0.0,147127.0,-147127.0,1066394.0,830427.0,235967.0,-9138650.0,0.0
2891,中信金          ,30084060.0,16168280.0,13915780.0,0.0,0.0,0.0,0.0,14156209.0,-14156209,-284715.0,354000.0,288000.0,66000.0,493625.0,844340.0,-350715.0,-525144.0,0.0
2882,國泰金          ,18228704.0,14273449.0,3955255.0,0.0,0.0,0.0,0.0,8315307.0,-8315307,170555.0,426000.0,154000.0,272000.0,17057.0,118502.0,-101445.0,-4189497.0,0.0
2606,裕民            ,8309000.0,1640000.0,6669000.0,0.0,0.0,0.0,0.0,6207000.0,-6207000,327656.0,280544.0,30400.0,250144.0,131166.0,53654.0,77512.0,789656.0,0.0
2881,富邦金          ,16121094.0,8938292.0,7182802.0,0.0,0.0,0.0,0.0,5074384.0,-5074384,42993.0,1211.0,158000.0,-156789.0,259209.0,59427.0,199782.0,2151411.0,0.0
"=""00953B""",群益優選非投等債,1281400.0,0.0,1281400.0,0.0,0.0,0.0,0.0,5000000.0,-5000000,6117410.0,0.0,0.0,0.0,10439000.0,4321590.0,6117410.0,2398810.0,0.0
2301,光寶科          ,22959221.0,18241588.0,4717633.0,0.0,0.0,0.0,0.0,3979000.0,-3979000,490260.0,68000.0,93189.0,-25189.0,999141.0,483692.0,515449.0,1228893.0,0.0
2884,玉山金          ,12628688.0,15157809.0,-2529121.0,0.0,0.0,0.0,0.0,3640898.0,-3640898,-570689.0,35311.0,307000.0,-271689.0,250000.0,549000.0,-299000.0,-6740708.0,0.0
2377,微星            ,22943842.0,38339657.0,-15395815.0,0.0,0.0,0.0,10000.0,3457000.0,-3447000,-1279394.0,326000.0,868950.0,-542950.0,792952.0,1529396.0,-736444.0,-20122209.0,0.0
2618,長榮航          ,18405955.0,14481277.0,3924678.0,0.0,0.0,0.0,24000.0,2536844.0,-2512844,-204002.0,2000.0,46000.0,-44000.0,402317.0,562319.0,-160002.0,1207832.0,0.0
2324,仁寶            ,12617004.0,23896761.0,-11279757.0,0.0,0.0,0.0,22000.0,2468000.0,-2446000,-1805474.0,17000.0,167973.0,-150973.0,50629.0,1705130.0,-1654501.0,-15531231.0,0.0
2883,凱基金          ,25626065.0,32483482.0,-6857417.0,0.0,0.0,0.0,89000.0,1793000.0,-1704000,-1844241.0,0.0,325000.0,-325000.0,216038.0,1735279.0,-1519241.0,-10405658.0,0.0
8046,南電            ,4979470.0,8749753.0,-3770283.0,0.0,0.0,0.0,15000.0,1648000.0,-1633000,-99092.0,68000.0,118000.0,-50000.0,1053927.0,1103019.0,-49092.0,-5502375.0,0.0
1216,統一            ,8332978.0,5938269.0,2394709.0,0.0,0.0,0.0,0.0,1482507.0,-1482507,78547.0,22000.0,45000.0,-23000.0,425259.0,323712.0,101547.0,990749.0,0.0
2885,元大金          ,9156647.0,15859768.0,-6703121.0,0.0,0.0,0.0,0.0,1410400.0,-1410400,-485943.0,123000.0,299767.0,-176767.0,299202.0,608378.0,-309176.0,-8599464.0,0.0
2449,京元電子        ,5539857.0,22604883.0,-17065026.0,0.0,0.0,0.0,59000.0,1457000.0,-1398000,-592042.0,315000.0,289333.0,25667.0,1011269.0,1628978.0,-617709.0,-19055068.0,0.0
3665,貿聯-KY         ,1795141.0,956714.0,838427.0,0.0,0.0,0.0,0.0,1097506.0,-1097506,4980.0,40000.0,6030.0,33970.0,27426.0,56416.0,-28990.0,-254099.0,0.0
6005,群益證          ,4611000.0,6072000.0,-1461000.0,0.0,0.0,0.0,0.0,1091194.0,-1091194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2552194.0,0.0
2610,華航            ,11711795.0,21552664.0,-9840869.0,0.0,0.0,0.0,0.0,984427.0,-984427,-530740.0,10000.0,206000.0,-196000.0,55169.0,389909.0,-334740.0,-11356036.0,0.0
2027,大成鋼          ,45914430.0,11230647.0,34683783.0,0.0,0.0,0.0,900000.0,1805000.0,-905000,269170.0,203068.0,901000.0,-697932.0,1184202.0,217100.0,967102.0,34047953.0,0.0
9904,寶成            ,4374162.0,7682694.0,-3308532.0,0.0,0.0,0.0,23000.0,907338.0,-884338,-213616.0,2000.0,23388.0,-21388.0,4000.0,196228.0,-192228.0,-4406486.0,0.0
2317,鴻海            ,21503868.0,43040880.0,-21537012.0,0.0,0.0,0.0,8000.0,792809.0,-784809,-1142374.0,175000.0,238990.0,-63990.0,275091.0,1353475.0,-1078384.0,-23464195.0,0.0
6805,富世達          ,963553.0,410067.0,553486.0,0.0,0.0,0.0,0.0,750008.0,-750008,-5761.0,27000.0,27739.0,-739.0,11025.0,16047.0,-5022.0,-202283.0,0.0
2890,永豐金          ,10110109.0,12499458.0,-2389349.0,0.0,0.0,0.0,0.0,646338.0,-646338,-422981.0,20000.0,107957.0,-87957.0,379607.0,714631.0,-335024.0,-3458668.0,0.0
2880,華南金          ,7654813.0,10039341.0,-2384528.0,0.0,0.0,0.0,0.0,628000.0,-628000,-282958.0,9000.0,90527.0,-81527.0,533000.0,734431.0,-201431.0,-3295486.0,0.0
