證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2303,聯電,60457148,115582555,-55125407,0,0,0,22626000,4351099,18274901,-3661566,321000,2430735,-2109735,1126302,2678133,-1551831,-40512072
2327,國巨*,27314622,35410234,-8095612,0,0,0,9765000,593321,9171679,-667895,353224,959274,-606050,631888,693733,-61845,408172
2883,凱基金,32383020,21921882,10461138,0,0,0,6070000,112000,5958000,-658072,623000,642000,-19000,178649,817721,-639072,15761066
4958,臻鼎-KY,22105476,17293399,4812077,0,0,0,5761000,0,5761000,36098,400500,338000,62500,896308,922710,-26402,10609175
2356,英業達,13040160,20525335,-7485175,0,0,0,5349000,66000,5283000,163936,528101,135000,393101,472000,701165,-229165,-2038239
2892,第一金,28391574,165365321,-136973747,0,0,0,3694000,64000,3630000,-480948,324000,498914,-174914,614000,920034,-306034,-133824695
3036,文曄,5534996,9104843,-3569847,0,0,0,4144000,891480,3252520,324701,396593,241718,154875,347645,177819,169826,7374
3706,神達,530100,4575053,-4044953,0,0,0,3167000,2000,3165000,150499,332000,44000,288000,94000,231501,-137501,-729454
2801,彰銀,3690524,8673979,-4983455,0,0,0,2759000,39000,2720000,-698284,254000,164000,90000,1000,789284,-788284,-2961739
3045,台灣大,7053118,6015600,1037518,0,0,0,2261000,31000,2230000,53000,96000,43000,53000,19782,19782,0,3320518
2330,台積電,12870856,23902321,-11031465,0,0,0,2565000,376355,2188645,-712000,601700,753513,-151813,124947,685134,-560187,-9554820
2455,全新,8669977,10076600,-1406623,0,0,0,1863000,0,1863000,192188,333275,197082,136193,711131,655136,55995,648565
2316,楠梓電,6276000,9350170,-3074170,0,0,0,1805000,0,1805000,22886,36000,18000,18000,147249,142363,4886,-1246284
2884,玉山金,12992227,27225447,-14233220,0,0,0,1868000,78000,1790000,-178385,229000,296484,-67484,50000,160901,-110901,-12621605
2344,華邦電,55224124,42499347,12724777,0,0,0,2187000,441000,1746000,-4071628,1477000,5148544,-3671544,1448903,1848987,-400084,10399149
2890,永豐金,13334476,23222867,-9888391,0,0,0,1744000,77000,1667000,-283522,497000,333518,163482,10000,457004,-447004,-8504913
2615,萬海,11067127,8434598,2632529,0,0,0,1543000,9000,1534000,59493,144000,129000,15000,272963,228470,44493,4226022
5871,中租-KY,6172157,6209387,-37230,0,0,0,1232000,20570,1211430,-33005,29000,66000,-37000,29298,25303,3995,1141195
8926,台汽電,2837100,3262100,-425000,0,0,0,991000,0,991000,-26000,16000,42000,-26000,0,0,0,540000
6278,台表科,4018400,3825000,193400,0,0,0,1015000,40394,974606,-26285,44556,47000,-2444,176601,200442,-23841,1141721
1102,亞泥,3578952,7772026,-4193074,0,0,0,995000,21325,973675,-51521,46000,76521,-30521,1000,22000,-21000,-3270920
2352,佳世達,4527015,732000,3795015,0,0,0,1049000,80000,969000,25717,12000,13000,-1000,32717,6000,26717,4789732
8016,矽創,1074112,1475000,-400888,0,0,0,928000,5544,922456,52835,41000,7279,33721,34639,15525,19114,574403
1216,統一,8035120,11381845,-3346725,0,0,0,912000,28016,883984,20716,147000,275000,-128000,229000,80284,148716,-2442025
2421,建準,1635587,2760863,-1125276,0,0,0,833000,10000,823000,-239880,12000,96020,-84020,10901,166761,-155860,-542156
2323,中環,938000,2635000,-1697000,0,0,0,819000,0,819000,-196953,80000,145000,-65000,0,131953,-131953,-1074953
3090,日電貿,5733000,8198000,-2465000,0,0,0,788000,1489,786511,-121272,49000,34230,14770,109318,245360,-136042,-1799761
4938,和碩,4992151,7755000,-2762849,0,0,0,1312000,528000,784000,-68386,100000,108000,-8000,80260,140646,-60386,-2047235
2002,中鋼,11371024,18901000,-7529976,0,0,0,856000,75000,781000,176030,302000,233000,69000,248000,140970,107030,-6572946
6415,矽力*-KY,5045466,5967177,-921711,0,0,0,736000,18000,718000,232261,164000,19000,145000,157829,70568,87261,28550
