證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
2337,旺宏,45041522,32002147,13039375,0,0,0,312000,8235000,-7923000,-1690851,152000,1507000,-1355000,895520,1231371,-335851,3425524
2324,仁寶,13462282,22541000,-9078718,0,0,0,5000,4739000,-4734000,-4631810,86000,438808,-352808,252000,4531002,-4279002,-18444528
2891,中信金,92077685,41494094,50583591,0,0,0,0,3888267,-3888267,210812,890428,302000,588428,1063444,1441060,-377616,46906136
2887,台新新光金,81418199,45110897,36307302,0,0,0,4195000,7360000,-3165000,-1869096,1078083,390000,688083,521821,3079000,-2557179,31273206
6257,矽格,5405121,2774300,2630821,0,0,0,0,3018000,-3018000,-247588,9000,157000,-148000,146674,246262,-99588,-634767
2408,南亞科,37669834,38766517,-1096683,0,0,0,280000,3020000,-2740000,-2275756,581000,2558250,-1977250,1182862,1481368,-298506,-6112439
6285,啟碁,12386801,17014292,-4627491,0,0,0,358000,2913404,-2555404,-506187,216002,280269,-64267,268560,710480,-441920,-7689082
2312,金寶,11491000,4221000,7270000,0,0,0,501000,2994000,-2493000,1434597,821000,85000,736000,764597,66000,698597,6211597
2603,長榮,38699391,13128864,25570527,0,0,0,318000,2758652,-2440652,328541,407000,87000,320000,998033,989492,8541,23458416
2317,鴻海,22057278,34817045,-12759767,0,0,0,298000,2624860,-2326860,-4202511,595493,4500361,-3904868,656711,954354,-297643,-19289138
2382,廣達,24055694,23652130,403564,0,0,0,111000,2094906,-1983906,-1275006,970000,2326156,-1356156,163150,82000,81150,-2855348
2481,強茂,18776823,18571646,205177,0,0,0,2100000,4063000,-1963000,-73373,1054470,727000,327470,511549,912392,-400843,-1831196
3005,神基,2320564,1474950,845614,0,0,0,3000,1800583,-1797583,-8222,23000,68960,-45960,73049,35311,37738,-960191
2885,元大金,14772432,14340930,431502,0,0,0,168000,1846000,-1678000,-213522,82000,131225,-49225,300619,464916,-164297,-1460020
2105,正新,4872000,6323000,-1451000,0,0,0,0,1360840,-1360840,-141735,101000,205551,-104551,33000,70184,-37184,-2953575
2449,京元電子,8447159,16378321,-7931162,0,0,0,118000,1443000,-1325000,-237579,300000,437360,-137360,1576383,1676602,-100219,-9493741
2027,大成鋼,28567068,7298300,21268768,0,0,0,100000,1419000,-1319000,-551000,227969,1754000,-1526031,1111322,136291,975031,19398768
00981A,主動統一台股增長,64217541,80038907,-15821366,0,0,0,0,1255000,-1255000,2278942,1398000,2109000,-711000,26236003,23246061,2989942,-14797424
6239,力成,9916867,5402604,4514263,0,0,0,55000,1262000,-1207000,81944,176000,335993,-159993,481185,239248,241937,3389207
2368,金像電,3586483,2228660,1357823,0,0,0,186000,1253000,-1067000,-310316,21000,261454,-240454,58866,128728,-69862,-19493
2308,台達電,5286273,5184422,101851,0,0,0,25000,1035000,-1010000,-72412,95573,326000,-230427,625413,467398,158015,-980561
2882,國泰金,21180705,21107201,73504,0,0,0,14000,968077,-954077,-979673,238000,261000,-23000,194164,1150837,-956673,-1860246
8021,尖點,5065063,3968207,1096856,0,0,0,149000,1063000,-914000,-81867,63000,144590,-81590,237481,237758,-277,100989
1609,大亞,1765383,1050000,715383,0,0,0,0,881000,-881000,-20261,36000,14000,22000,859,43120,-42261,-185878
2610,華航,4731330,12659017,-7927687,0,0,0,0,877000,-877000,-319279,77000,115000,-38000,14000,295279,-281279,-9123966
1717,長興,8320612,11759000,-3438388,0,0,0,700000,1501000,-801000,-36934,190000,113000,77000,242260,356194,-113934,-4276322
1560,中砂,1628752,627000,1001752,0,0,0,0,773000,-773000,-70412,18646,27912,-9266,66466,127612,-61146,158340
4915,致伸,1679000,2091183,-412183,0,0,0,189000,954119,-765119,12693,29000,16267,12733,0,40,-40,-1164609
2353,宏碁,1101000,7266000,-6165000,0,0,0,104000,771227,-667227,133439,96000,39000,57000,557000,480561,76439,-6698788
2439,美律,1299000,798000,501000,0,0,0,0,614395,-614395,-61144,35000,76494,-41494,65,19715,-19650,-174539
