排名,證券代號,證券名稱,投信買賣超股數
1,2303,聯電,-38025561
2,1402,遠東新,-37345965
3,2882,國泰金,-22290000
4,2324,仁寶,-14227900
5,2881,富邦金,-9379979
6,2449,京元電子,-7544839
7,2885,元大金,-7462400
8,2609,陽明,-6005850
9,3711,日月光投控,-4656953
10,2474,可成,-3910179
11,9904,寶成,-3527394
12,2884,玉山金,-3281898
13,8422,可寧衛*,-2995000
14,2353,宏碁,-2747000
15,1102,亞泥,-2194327
16,2883,凱基金,-1866000
17,6005,群益證,-1849243
18,3036,文曄,-1558000
19,2897,王道銀行,-1552000
20,2486,一詮,-1356000
21,4958,臻鼎-KY,-1331000
22,6412,群電,-1277000
23,1434,福懋,-986000
24,6176,瑞儀,-956000
25,9907,統一實,-944574
26,3037,欣興,-917999
27,1717,長興,-904768
28,6257,矽格,-806733
29,2903,遠百,-716000
30,2301,光寶科,-694000
