排名,證券代號,證券名稱,軌跡,日期權重,上榜次數,最近連續,熱度,五日總買超
1,2618,長榮航,●●●●●,15,5,5,★★★★★,131514031
2,2867,三商壽,●●●●●,15,5,5,★★★★★,49565300
3,2610,華航,●●○●●,12,4,2,★★,114788819
4,1216,統一,○○●●●,12,3,3,★★★,43310493
5,2891,中信金,○○●●●,12,3,3,★★★,33800392
6,4904,遠傳,●●●○●,11,4,1,★,24618779
7,2324,仁寶,○●○●●,11,3,2,★★,36399663
8,3231,緯創,○●○●●,11,3,2,★★,36295747
9,2002,中鋼,●●●●○,10,4,0,,38899745
10,2412,中華電,●●●●○,10,4,0,,36828536
11,5876,上海商銀,●●●●○,10,4,0,,33173920
12,5880,合庫金,○●●●○,9,3,0,,86129601
13,2317,鴻海,○○○●●,9,2,2,★★,59994303
14,1605,華新,○○○●●,9,2,2,★★,19836770
15,2356,英業達,●●○○●,8,3,1,★,22534003
16,2313,華通,●●○○●,8,3,1,★,18479944
17,2845,遠東銀,●○●●○,8,3,0,,24457630
18,2344,華邦電,○○●○●,8,2,1,★,62305161
19,2327,國巨*,○○●○●,8,2,1,★,10022315
20,2409,友達,●●○●○,7,3,0,,70086914
21,2027,大成鋼,○●○○●,7,2,1,★,11737077
22,9105,泰金寶-DR,○●○○●,7,2,1,★,9891000
23,2603,長榮,○●○○●,7,2,1,★,7828497
24,2883,凱基金,○○●●○,7,2,0,,59933733
25,2887,台新新光金,○○●●○,7,2,0,,58859916
26,2834,臺企銀,○○●●○,7,2,0,,48288715
27,2884,玉山金,○○●●○,7,2,0,,46122853
28,2892,第一金,○○●●○,7,2,0,,28076647
29,2882,國泰金,○○●●○,7,2,0,,20238110
30,2886,兆豐金,○○●●○,7,2,0,,17397111
